,Algorithm,Train Start,Train End,Test Start,Test End,AUC,Avg AUC
0,['Random forest'],[1],[5000],[5000],[6000],[0.6722625125136461],['0.6722625125136461']
1,['Random forest'],[1],[6000],[6000],[7000],[0.681972874439762],['0.677117693476704']
2,['Random forest'],[1],[7000],[7000],[8000],[0.7019634361533137],['0.6853996077022405']
3,['Random forest'],[1],[8000],[8000],[9000],[0.7350435577802377],['0.6978105952217398']
4,['Random forest'],[1],[9000],[9000],[10000],[0.714731366353096],['0.7011947494480111']
5,['Random forest'],[1],[10000],[10000],[11000],[0.6918262687147578],['0.6996333359924689']
6,['Random forest'],[1],[11000],[11000],[12000],[0.7499433391073482],['0.7068204792945946']
7,['Random forest'],[1],[12000],[12000],[13000],[0.7238145159031528],['0.7089447338706644']
8,['Random forest'],[1],[13000],[13000],[14000],[0.6911884983000834],['0.7069718188072664']
9,['Random forest'],[1],[14000],[14000],[15000],[0.7142234223422341],['0.7076969791607632']
10,['Random forest'],[1],[15000],[15000],[16000],[0.7089026215420269],['0.7078065830136054']
11,['Random forest'],[1],[16000],[16000],[17000],[0.7196],['0.7087893677624716']
12,['Random forest'],[1],[17000],[17000],[18000],[0.7060081454161009],['0.7085754275819816']
13,['Random forest'],[1],[18000],[18000],[19000],[0.7211978401242303],['0.7094770284778564']
14,['Random forest'],[1],[19000],[19000],[20000],[0.7337175324675325],['0.7110930620771682']
15,['Random forest'],[1],[20000],[20000],[21000],[0.6766568613267749],['0.7089407995302686']
16,['Random forest'],[1],[21000],[21000],[22000],[0.6834049284959967],['0.707438689469429']
17,['Random forest'],[1],[22000],[22000],[23000],[0.7412250905797101],['0.7093157117533335']
18,['Random forest'],[1],[23000],[23000],[24000],[0.7239887518927104],['0.7100879770238271']
19,['Random forest'],[1],[24000],[24000],[25000],[0.7215425183438156],['0.7106607040898265']
20,['Random forest'],[1],[25000],[25000],[26000],[0.7173485899214055],['0.7109791748437112']
21,['Random forest'],[1],[26000],[26000],[27000],[0.7566110789795001],['0.7130533523044288']
22,['Random forest'],[1],[27000],[27000],[28000],[0.7586595043242442],['0.7150362284792035']
23,['Random forest'],[1],[28000],[28000],[29000],[0.7578607501286669],['0.7168205835479311']
24,['Random forest'],[1],[29000],[29000],[30000],[0.7079612959286012],['0.716466212043158']
25,['Random forest'],[1],[30000],[30000],[31000],[0.7200920337778419],['0.7166056667252612']
26,['Random forest'],[1],[31000],[31000],[32000],[0.7519120305924895],['0.7179133098314548']
27,['Random forest'],[1],[32000],[32000],[33000],[0.7738237363079087],['0.7199101107770424']
28,['Random forest'],[1],[33000],[33000],[34000],[0.7582026306092696],['0.721230542495395']
29,['Random forest'],[1],[34000],[34000],[35000],[0.6892183266804534],['0.720163468634897']
30,['Random forest'],[1],[35000],[35000],[36000],[0.7313409980213661],['0.7205240340989766']
31,['Random forest'],[1],[36000],[36000],[37000],[0.7405008012820513],['0.7211483080734478']
32,['Random forest'],[1],[37000],[37000],[38000],[0.735240107060984],['0.7215753322851913']
33,['Random forest'],[1],[38000],[38000],[39000],[0.7259166067577283],['0.7217030168285012']
34,['Random forest'],[1],[39000],[39000],[39644],[0.7155447544871607],['0.7215270664758915']
