,Algorithm,n_estimators,eta,max_depth,n_neighbors,AUC
0,['KNN'],[0],[0],[0],[3],['0.5787578874120692']
1,['KNN'],[0],[0],[0],[5],['0.589177756807866']
2,['KNN'],[0],[0],[0],[7],['0.597778722574276']
3,['KNN'],[0],[0],[0],[11],['0.6074693002468139']
