,Algorithm,Train Start,Train End,Test Start,Test End,AUC,Avg AUC
0,['XGBoost'],[1],[5000],[5000],[6000],[0.649636028429192],['0.649636028429192']
1,['XGBoost'],[1],[6000],[6000],[7000],[0.6678582179409994],['0.6587471231850957']
2,['XGBoost'],[1],[7000],[7000],[8000],[0.6865744501218395],['0.668022898830677']
3,['XGBoost'],[1],[8000],[8000],[9000],[0.7166377885803212],['0.680176621268088']
4,['XGBoost'],[1],[9000],[9000],[10000],[0.7187024548914206],['0.6878817879927545']
5,['XGBoost'],[1],[10000],[10000],[11000],[0.7009851578196902],['0.6900656829639105']
6,['XGBoost'],[1],[11000],[11000],[12000],[0.7451190688187013],['0.6979304523717378']
7,['XGBoost'],[1],[12000],[12000],[13000],[0.7300765448005153],['0.701948713925335']
8,['XGBoost'],[1],[13000],[13000],[14000],[0.6849300789017897],['0.7000577544782743']
9,['XGBoost'],[1],[14000],[14000],[15000],[0.7347934793479348],['0.7035313269652403']
10,['XGBoost'],[1],[15000],[15000],[16000],[0.7248185519560983],['0.7054665292371366']
11,['XGBoost'],[1],[16000],[16000],[17000],[0.7109939393939394],['0.7059271467502035']
12,['XGBoost'],[1],[17000],[17000],[18000],[0.701002358726688],['0.7055483169022408']
13,['XGBoost'],[1],[18000],[18000],[19000],[0.7177173926619179],['0.7064175365993606']
14,['XGBoost'],[1],[19000],[19000],[20000],[0.7458847402597403],['0.7090486835100526']
15,['XGBoost'],[1],[20000],[20000],[21000],[0.6739644114384916],['0.70685591650558']
16,['XGBoost'],[1000],[21000],[21000],[22000],[0.6982232338574295],['0.7063481116439241']
17,['XGBoost'],[2000],[22000],[22000],[23000],[0.7631461891821947],['0.7095035603960502']
18,['XGBoost'],[3000],[23000],[23000],[24000],[0.7272084394083096],['0.7104353961335376']
19,['XGBoost'],[4000],[24000],[24000],[25000],[0.7346083922955975],['0.7116440459416407']
20,['XGBoost'],[5000],[25000],[25000],[26000],[0.7289189947823789],['0.7124666625531043']
21,['XGBoost'],[6000],[26000],[26000],[27000],[0.7603704774757407],['0.7146441086859515']
22,['XGBoost'],[7000],[27000],[27000],[28000],[0.7715461125865749],['0.7171181088555438']
23,['XGBoost'],[8000],[28000],[28000],[29000],[0.7736827714873906],['0.7194749697985374']
24,['XGBoost'],[9000],[29000],[29000],[30000],[0.7225748033734098],['0.7195989631415323']
25,['XGBoost'],[10000],[30000],[30000],[31000],[0.7241837623825986],['0.7197753015738809']
26,['XGBoost'],[11000],[31000],[31000],[32000],[0.7579081265300244],['0.7211876284241086']
27,['XGBoost'],[12000],[32000],[32000],[33000],[0.7896010451210933],['0.7236309647347151']
28,['XGBoost'],[13000],[33000],[33000],[34000],[0.7676228391996027],['0.7251479259231595']
29,['XGBoost'],[14000],[34000],[34000],[35000],[0.687466935988073],['0.7238918929253233']
30,['XGBoost'],[15000],[35000],[35000],[36000],[0.7376879400042716],['0.7243369267020635']
31,['XGBoost'],[16000],[36000],[36000],[37000],[0.7478966346153846],['0.7250731675743548']
32,['XGBoost'],[17000],[37000],[37000],[38000],[0.7420254369856493],['0.7255868727080304']
33,['XGBoost'],[18000],[38000],[38000],[39000],[0.7219462780210444],['0.7254797963937073']
34,['XGBoost'],[19000],[39000],[39000],[39644],[0.7206785153085624],['0.7253426169341317']
