,Algorithm,Train Start,Train End,Test Start,Test End,AUC,Avg AUC
0,['Decision Tree'],[0],[5000],[5000],[6000],[0.5861301238001622],['0.5861301238001622']
1,['Decision Tree'],[1000],[6000],[6000],[7000],[0.6067567228577162],['0.5964434233289392']
2,['Decision Tree'],[2000],[7000],[7000],[8000],[0.6437525758345704],['0.6122131408308162']
3,['Decision Tree'],[3000],[8000],[8000],[9000],[0.651413421892798],['0.6220132110963117']
4,['Decision Tree'],[4000],[9000],[9000],[10000],[0.6176313909706164],['0.6211368470711726']
5,['Decision Tree'],[5000],[10000],[10000],[11000],[0.6263853781839392],['0.6220116022566337']
6,['Decision Tree'],[6000],[11000],[11000],[12000],[0.6614936620744363],['0.6276518965163198']
7,['Decision Tree'],[7000],[12000],[12000],[13000],[0.6406335652751491],['0.6292746051111735']
8,['Decision Tree'],[8000],[13000],[13000],[14000],[0.5682893386362179],['0.622498464391734']
9,['Decision Tree'],[9000],[14000],[14000],[15000],[0.6220522052205221],['0.6224538384746128']
10,['Decision Tree'],[10000],[15000],[15000],[16000],[0.6447621461561982],['0.6244818664456661']
11,['Decision Tree'],[11000],[16000],[16000],[17000],[0.6678909090909093],['0.6280992866661029']
12,['Decision Tree'],[12000],[17000],[17000],[18000],[0.6098169483923415],['0.6266929529527367']
13,['Decision Tree'],[13000],[18000],[18000],[19000],[0.6221570447837002],['0.6263689595120913']
14,['Decision Tree'],[14000],[19000],[19000],[20000],[0.6531026785714285],['0.6281512074493805']
15,['Decision Tree'],[15000],[20000],[20000],[21000],[0.6547716641751459],['0.6298149859947407']
16,['Decision Tree'],[16000],[21000],[21000],[22000],[0.630003071369368],['0.629826049840307']
17,['Decision Tree'],[17000],[22000],[22000],[23000],[0.6844651753364389],['0.6328615568123143']
18,['Decision Tree'],[18000],[23000],[23000],[24000],[0.627591557263848],['0.6325841884150266']
19,['Decision Tree'],[19000],[24000],[24000],[25000],[0.6532936975890985],['0.6336196638737303']
20,['Decision Tree'],[20000],[25000],[25000],[26000],[0.6408757677828413],['0.6339651926313069']
21,['Decision Tree'],[21000],[26000],[26000],[27000],[0.671948300237774],['0.63569169752251']
22,['Decision Tree'],[22000],[27000],[27000],[28000],[0.6855158849378502],['0.6378579665405683']
23,['Decision Tree'],[23000],[28000],[28000],[29000],[0.7142727901441069],['0.641041917524049']
