,Algorithm,Train Start,Train End,Test Start,Test End,AUC,Avg AUC
0,['Random forest'],[0],[5000],[5000],[6000],[0.6722942213001508],['0.6722942213001508']
1,['Random forest'],[1000],[6000],[6000],[7000],[0.6851001739246771],['0.678697197612414']
2,['Random forest'],[2000],[7000],[7000],[8000],[0.7028837343299229],['0.6867593765182503']
3,['Random forest'],[3000],[8000],[8000],[9000],[0.7323963998652355],['0.6981686323549966']
4,['Random forest'],[4000],[9000],[9000],[10000],[0.7125601817660852],['0.7010469422372143']
5,['Random forest'],[5000],[10000],[10000],[11000],[0.6903396201957352],['0.6992623885636345']
6,['Random forest'],[6000],[11000],[11000],[12000],[0.7467946123585502],['0.7060527062486225']
7,['Random forest'],[7000],[12000],[12000],[13000],[0.7293603127413282],['0.7089661570602106']
8,['Random forest'],[8000],[13000],[13000],[14000],[0.673816473154147],['0.7050606366262036']
9,['Random forest'],[9000],[14000],[14000],[15000],[0.7028302830283029],['0.7048376012664135']
10,['Random forest'],[10000],[15000],[15000],[16000],[0.7130626498656238],['0.7055853329572508']
11,['Random forest'],[11000],[16000],[16000],[17000],[0.7133535353535354],['0.7062326831569412']
12,['Random forest'],[12000],[17000],[17000],[18000],[0.7002374745205457],['0.7057715132618338']
13,['Random forest'],[13000],[18000],[18000],[19000],[0.7153027281545719],['0.7064523143256008']
14,['Random forest'],[14000],[19000],[19000],[20000],[0.7343262987012986],['0.7083105799506474']
15,['Random forest'],[15000],[20000],[20000],[21000],[0.6776815997170919],['0.7063962686860502']
16,['Random forest'],[16000],[21000],[21000],[22000],[0.6779185371867098],['0.7047211080096184']
17,['Random forest'],[17000],[22000],[22000],[23000],[0.7278443646480331],['0.7060057333784192']
18,['Random forest'],[18000],[23000],[23000],[24000],[0.7193588911629145],['0.7067085311565505']
19,['Random forest'],[19000],[24000],[24000],[25000],[0.7303459119496856],['0.7078904001962073']
20,['Random forest'],[20000],[25000],[25000],[26000],[0.7245847368073443],['0.7086853686062614']
21,['Random forest'],[21000],[26000],[26000],[27000],[0.7600612107191055],['0.7110206341568452']
22,['Random forest'],[22000],[27000],[27000],[28000],[0.7654092509583839],['0.7133853566264774']
23,['Random forest'],[23000],[28000],[28000],[29000],[0.7670121911991765],['0.7156198080670064']
24,['Random forest'],[24000],[29000],[29000],[30000],[0.7097235249452858],['0.7153839567421376']
25,['Random forest'],[25000],[30000],[30000],[31000],[0.7190239279791519],['0.7155239556358689']
26,['Random forest'],[26000],[31000],[31000],[32000],[0.7602121633946143],['0.7171790744417483']
27,['Random forest'],[27000],[32000],[32000],[33000],[0.7728389106622451],['0.7191669257353375']
28,['Random forest'],[28000],[33000],[33000],[34000],[0.759023694708342],['0.7205412970792342']
29,['Random forest'],[29000],[34000],[34000],[35000],[0.6826776639574216],['0.7192791759751738']
30,['Random forest'],[30000],[35000],[35000],[36000],[0.7262150867818384],['0.7195029150334532']
31,['Random forest'],[31000],[36000],[36000],[37000],[0.7318709935897436],['0.7198894174883373']
32,['Random forest'],[32000],[37000],[37000],[38000],[0.7262463442834796],['0.7200820516336446']
33,['Random forest'],[33000],[38000],[38000],[39000],[0.7286982876936148],['0.7203354703412908']
34,['Random forest'],[34000],[39000],[39000],[39644],[0.7127143540342966],['0.720117724161091']
35,['Random forest'],[0],[7500],[7500],[8500],[0.718300550874266],['0.718300550874266']
36,['Random forest'],[1000],[8500],[8500],[9500],[0.7208887069851053],['0.7195946289296857']
37,['Random forest'],[2000],[9500],[9500],[10500],[0.6921278476320816],['0.7104390351638177']
