,Algorithm,Train Start,Train End,Test Start,Test End,AUC,Avg AUC
0,['KNN'],[1],[5000],[5000],[6000],[0.525779243428354],['0.525779243428354']
1,['KNN'],[1],[6000],[6000],[7000],[0.540462572747341],['0.5331209080878475']
2,['KNN'],[1],[7000],[7000],[8000],[0.5524289869917853],['0.5395569343891601']
3,['KNN'],[1],[8000],[8000],[9000],[0.5881242880749546],['0.5516987728106088']
4,['KNN'],[1],[9000],[9000],[10000],[0.5849708020065297],['0.558353178649793']
5,['KNN'],[1],[10000],[10000],[11000],[0.5593423909521033],['0.5585180473668446']
6,['KNN'],[1],[11000],[11000],[12000],[0.5984584189992067],['0.5642238147428964']
7,['KNN'],[1],[12000],[12000],[13000],[0.6025412233563675],['0.5690134908195803']
8,['KNN'],[1],[13000],[13000],[14000],[0.5640936718198729],['0.5684668442640572']
9,['KNN'],[1],[14000],[14000],[15000],[0.5654745474547455],['0.5681676145831261']
10,['KNN'],[1],[15000],[15000],[16000],[0.5911082412011779],['0.5702531260938581']
11,['KNN'],[1],[16000],[16000],[17000],[0.5691919191919191],['0.5701646921853633']
12,['KNN'],[1],[17000],[17000],[18000],[0.5664828541794314],['0.5698814738772147']
13,['KNN'],[1],[18000],[18000],[19000],[0.605853896144447],['0.5724509326105884']
14,['KNN'],[1],[19000],[19000],[20000],[0.5877982954545453],['0.5734740901335189']
15,['KNN'],[1],[20000],[20000],[21000],[0.5702247191011236],['0.5732710044439941']
16,['KNN'],[1000],[21000],[21000],[22000],[0.5401697247127428],['0.5713238703421559']
17,['KNN'],[2000],[22000],[22000],[23000],[0.5994961503623187],['0.5728889970099427']
18,['KNN'],[3000],[23000],[23000],[24000],[0.5771248273681758],['0.5731119354498496']
19,['KNN'],[4000],[24000],[24000],[25000],[0.5990463672693921],['0.5744086570408268']
20,['KNN'],[5000],[25000],[25000],[26000],[0.5600913909253021],['0.573726882463897']
21,['KNN'],[6000],[26000],[26000],[27000],[0.611745710429921],['0.5754550110078072']
22,['KNN'],[7000],[27000],[27000],[28000],[0.6076153966327377],['0.5768532886436738']
23,['KNN'],[8000],[28000],[28000],[29000],[0.6067513992537313],['0.5780990432524261']
24,['KNN'],[9000],[29000],[29000],[30000],[0.5702374136649897],['0.5777845780689287']
25,['KNN'],[10000],[30000],[30000],[31000],[0.6031043330562683],['0.578758414799211']
26,['KNN'],[11000],[31000],[31000],[32000],[0.6208159330549289],['0.5803161006605339']
27,['KNN'],[12000],[32000],[32000],[33000],[0.6293337353029846],['0.5820667304691929']
28,['KNN'],[13000],[33000],[33000],[34000],[0.619380717409763],['0.5833534196740401']
29,['KNN'],[14000],[34000],[34000],[35000],[0.6120088491319194],['0.5843086006559693']
30,['KNN'],[15000],[35000],[35000],[36000],[0.6053209537741133],['0.5849864184984902']
31,['KNN'],[16000],[36000],[36000],[37000],[0.6216225961538461],['0.58613129905022']
32,['KNN'],[17000],[37000],[37000],[38000],[0.6036983248716747],['0.5866636331660217']
33,['KNN'],[18000],[38000],[38000],[39000],[0.6196184072936409],['0.5876328912285986']
34,['KNN'],[19000],[39000],[39000],[39644],[0.5899774543963927],['0.5876998787476785']
