,Algorithm,Train Start,Train End,Test Start,Test End,AUC,Avg AUC
0,['XGBoost'],[0],[5000],[5000],[6000],[0.6453055141579732],['0.6453055141579732']
1,['XGBoost'],[1000],[6000],[6000],[7000],[0.6805806408455416],['0.6629430775017574']
2,['XGBoost'],[2000],[7000],[7000],[8000],[0.676043037944294],['0.6673097309826029']
3,['XGBoost'],[3000],[8000],[8000],[9000],[0.7042522982143716],['0.6765453727905452']
4,['XGBoost'],[4000],[9000],[9000],[10000],[0.7019100774442978],['0.6816183137212957']
5,['XGBoost'],[5000],[10000],[10000],[11000],[0.6838826236308252],['0.6819956987062173']
6,['XGBoost'],[6000],[11000],[11000],[12000],[0.7227299218079681],['0.6878148734350388']
7,['XGBoost'],[7000],[12000],[12000],[13000],[0.6960575226373344],['0.6888452045853257']
8,['XGBoost'],[8000],[13000],[13000],[14000],[0.65160128937071],['0.6847069917837018']
9,['XGBoost'],[9000],[14000],[14000],[15000],[0.695977597759776],['0.6858340523813091']
10,['XGBoost'],[10000],[15000],[15000],[16000],[0.7195320169297865],['0.688897503703898']
11,['XGBoost'],[11000],[16000],[16000],[17000],[0.7088727272727273],['0.6905621056679672']
12,['XGBoost'],[12000],[17000],[17000],[18000],[0.669145532235264],['0.6889146769423746']
13,['XGBoost'],[13000],[18000],[18000],[19000],[0.7035208306445905],['0.68995797363539']
14,['XGBoost'],[14000],[19000],[19000],[20000],[0.725523538961039],['0.6923290113237666']
15,['XGBoost'],[15000],[20000],[20000],[21000],[0.658705855877578],['0.6902275641083798']
16,['XGBoost'],[16000],[21000],[21000],[22000],[0.6787137273381325],['0.6895502795924829']
17,['XGBoost'],[17000],[22000],[22000],[23000],[0.7317101772774328],['0.6918924961305357']
18,['XGBoost'],[18000],[23000],[23000],[24000],[0.7191550608163197],['0.6933273679561033']
19,['XGBoost'],[19000],[24000],[24000],[25000],[0.7176444575471699],['0.6945432224356567']
20,['XGBoost'],[20000],[25000],[25000],[26000],[0.7323740175681922],['0.6963446888705394']
21,['XGBoost'],[21000],[26000],[26000],[27000],[0.7451722254353834],['0.6985641223507595']
22,['XGBoost'],[22000],[27000],[27000],[28000],[0.7367518696998465],['0.7002244591920241']
23,['XGBoost'],[23000],[28000],[28000],[29000],[0.7634577650540402],['0.7028591802696081']
24,['XGBoost'],[24000],[29000],[29000],[30000],[0.7041729095862822],['0.7029117294422751']
25,['XGBoost'],[25000],[30000],[30000],[31000],[0.7205558165588521],['0.7035903481775281']
26,['XGBoost'],[26000],[31000],[31000],[32000],[0.7444039104625673],['0.7051019615954925']
27,['XGBoost'],[27000],[32000],[32000],[33000],[0.7629986935986333],['0.7071697020241761']
28,['XGBoost'],[28000],[33000],[33000],[34000],[0.7536807702782807],['0.7087735319639727']
29,['XGBoost'],[29000],[34000],[34000],[35000],[0.6739848346398627],['0.7076139087198358']
30,['XGBoost'],[30000],[35000],[35000],[36000],[0.7240994394542033],['0.7081457000338476']
31,['XGBoost'],[31000],[36000],[36000],[37000],[0.7415044070512821],['0.7091881596281424']
32,['XGBoost'],[32000],[37000],[37000],[38000],[0.7125396577729235],['0.7092897201779842']
33,['XGBoost'],[33000],[38000],[38000],[39000],[0.7122532840990785],['0.7093768838227222']
34,['XGBoost'],[34000],[39000],[39000],[39644],[0.7186484349837496],['0.7096417852844659']
35,['XGBoost'],[0],[7500],[7500],[8500],[0.7083227550966953],['0.7083227550966953']
36,['XGBoost'],[1000],[8500],[8500],[9500],[0.715588084232152],['0.7119554196644237']
37,['XGBoost'],[2000],[9500],[9500],[10500],[0.680136531560704],['0.7013491236298505']
38,['XGBoost'],[3000],[10500],[10500],[11500],[0.7064824275450461],['0.7026324496086493']
39,['XGBoost'],[4000],[11500],[11500],[12500],[0.719728348520684],['0.7060516293910564']
40,['XGBoost'],[5000],[12500],[12500],[13500],[0.6905983316714122],['0.7034760797711156']
41,['XGBoost'],[6000],[13500],[13500],[14500],[0.6987538753875387],['0.7028014791448902']
42,['XGBoost'],[7000],[14500],[14500],[15500],[0.7116619172643442],['0.703909033909822']
43,['XGBoost'],[8000],[15500],[15500],[16500],[0.7157858585858585],['0.7052286810960483']
