,Algorithm,Train Start,Train End,Test Start,Test End,AUC,Avg AUC
0,['KNN'],[1],[5000],[5000],[6000],[0.525779243428354],['0.525779243428354']
1,['KNN'],[1],[6000],[6000],[7000],[0.540462572747341],['0.5331209080878475']
2,['KNN'],[1],[7000],[7000],[8000],[0.5524289869917853],['0.5395569343891601']
3,['KNN'],[1],[8000],[8000],[9000],[0.5881242880749546],['0.5516987728106088']
4,['KNN'],[1],[9000],[9000],[10000],[0.5849708020065297],['0.558353178649793']
5,['KNN'],[1],[10000],[10000],[11000],[0.5593423909521033],['0.5585180473668446']
6,['KNN'],[1],[11000],[11000],[12000],[0.5984584189992067],['0.5642238147428964']
7,['KNN'],[1],[12000],[12000],[13000],[0.6025412233563675],['0.5690134908195803']
8,['KNN'],[1],[13000],[13000],[14000],[0.5640936718198729],['0.5684668442640572']
9,['KNN'],[1],[14000],[14000],[15000],[0.5654745474547455],['0.5681676145831261']
10,['KNN'],[1],[15000],[15000],[16000],[0.5911082412011779],['0.5702531260938581']
11,['KNN'],[1],[16000],[16000],[17000],[0.5691919191919191],['0.5701646921853633']
12,['KNN'],[1],[17000],[17000],[18000],[0.5664828541794314],['0.5698814738772147']
13,['KNN'],[1],[18000],[18000],[19000],[0.605853896144447],['0.5724509326105884']
14,['KNN'],[1],[19000],[19000],[20000],[0.5877982954545453],['0.5734740901335189']
15,['KNN'],[1],[20000],[20000],[21000],[0.5702247191011236],['0.5732710044439941']
16,['KNN'],[1],[21000],[21000],[22000],[0.5406199117296858],['0.5713503519313877']
17,['KNN'],[1],[22000],[22000],[23000],[0.5994961503623187],['0.5729140073997727']
18,['KNN'],[1],[23000],[23000],[24000],[0.5780191850113978],['0.5731827009582794']
19,['KNN'],[1],[24000],[24000],[25000],[0.5990463672693921],['0.5744758842738349']
20,['KNN'],[1],[25000],[25000],[26000],[0.5604360676309359],['0.573807321576554']
21,['KNN'],[1],[26000],[26000],[27000],[0.611745710429921],['0.5755317937971616']
22,['KNN'],[1],[27000],[27000],[28000],[0.6074972259943358],['0.5769215951970388']
23,['KNN'],[1],[28000],[28000],[29000],[0.6072861715131239],['0.5781867858768757']
24,['KNN'],[1],[29000],[29000],[30000],[0.5702374136649897],['0.5778688109884002']
25,['KNN'],[1],[30000],[30000],[31000],[0.6030661864206007],['0.5788379408127156']
26,['KNN'],[1],[31000],[31000],[32000],[0.6188859021744347],['0.5803211986409275']
27,['KNN'],[1],[32000],[32000],[33000],[0.6328911667169128],['0.582198697500784']
28,['KNN'],[1],[33000],[33000],[34000],[0.6208225860715487],['0.583530555727362']
29,['KNN'],[1],[34000],[34000],[35000],[0.6093196428285161],['0.5843901919640672']
30,['KNN'],[1],[35000],[35000],[36000],[0.6108438007503496],['0.5852435341829795']
31,['KNN'],[1],[36000],[36000],[37000],[0.6274639423076923],['0.5865629219368768']
32,['KNN'],[1],[37000],[37000],[38000],[0.6188873019111746],['0.5875424486027646']
33,['KNN'],[1],[38000],[38000],[39000],[0.6294707045291157],['0.5887756326005985']
34,['KNN'],[1],[39000],[39000],[39644],[0.5921148947383831],['0.5888710400902495']
